key,scroll,wrap,area_cm2,verdict,mean_range,median_range,flat_frac,tiles,pct
PHerc0125__z10544_w100,PHerc0125,w100,10.19,,48.419161796569824,45.92366027832031,0.0,24,0.9919354838709677
PHerc0125__z9344_w100,PHerc0125,w100,10.17,,47.05179043610891,50.609901428222656,0.041666666666666664,24,0.9758064516129032
PHerc0125__z11744_w100,PHerc0125,w100,10.29,,43.400112648804985,41.4026985168457,0.0,24,0.9596774193548387
PHerc0125__z8144_w100,PHerc0125,w100,9.84,,40.60732412338257,23.920764923095703,0.20833333333333334,24,0.9435483870967741
PHerc0125__z6336_w100,PHerc0125,w100,10.05,,36.904343605041504,26.50951385498047,0.0,24,0.9274193548387096
PHerc0125__z9936_w100,PHerc0125,w100,10.36,,34.09275007247925,26.29540252685547,0.0,24,0.9112903225806451
PHerc0125__z6944_w100,PHerc0125,w100,10.1,,33.88058082262675,25.03446674346924,0.16666666666666666,24,0.8951612903225806
PHerc0125__z8736_w100,PHerc0125,w100,10.04,,31.643696626027424,24.49734115600586,0.041666666666666664,24,0.8790322580645161
PHerc0125__z15344_w020,PHerc0125,w020,2.51,,31.594471613566082,29.20950698852539,0.0,24,0.8629032258064516
PHerc0125__z16544_w100,PHerc0125,w100,9.89,parcial,31.3118679523468,20.484920501708984,0.041666666666666664,24,0.8467741935483871
PHerc0125__z16544_w060,PHerc0125,w060,6.84,,30.34227466583252,27.762754440307617,0.0,24,0.8306451612903226
PHerc0125__z16544_w080,PHerc0125,w080,8.47,,29.23611815770467,25.1400146484375,0.0,24,0.814516129032258
PHerc0125__z16544_w020,PHerc0125,w020,2.54,aprova,27.810669422149658,27.0716552734375,0.0,24,0.7983870967741935
PHerc0125__z14736_w040,PHerc0125,w040,4.65,,27.75406551361084,26.11639404296875,0.0,24,0.782258064516129
PHerc0125__z14144_w020,PHerc0125,w020,2.31,,27.085116704305012,24.833740234375,0.0,24,0.7661290322580645
PHerc0125__z14736_w100,PHerc0125,w100,10.19,,26.982376446326573,22.209060668945312,0.08333333333333333,24,0.75
PHerc0125__z14144_w100,PHerc0125,w100,10.28,,26.687551816304524,20.79914093017578,0.0,24,0.7338709677419355
PHerc0125__z16544_w040,PHerc0125,w040,4.74,,26.55240790049235,25.40625762939453,0.0,24,0.717741935483871
PHerc0125__z14736_w020,PHerc0125,w020,2.44,aprova,26.027456283569336,24.882686614990234,0.0,24,0.7016129032258065
PHerc0125__z17136_w080,PHerc0125,w080,8.3,,25.9976919144392,22.40843963623047,0.041666666666666664,24,0.6854838709677419
PHerc0125__z15344_w040,PHerc0125,w040,4.75,,25.251229286193848,24.58349609375,0.0,24,0.6693548387096774
PHerc0125__z14144_w040,PHerc0125,w040,4.48,,25.13863404591878,24.0057373046875,0.0,24,0.6532258064516129
PHerc0125__z14736_w080,PHerc0125,w080,8.55,,25.04151137669881,23.674663543701172,0.0,24,0.6370967741935484
PHerc0125__z17136_w040,PHerc0125,w040,4.44,,24.541569391886394,24.717639923095703,0.0,24,0.6209677419354839
PHerc0125__z8736_w020,PHerc0125,w020,2.38,,23.00984001159668,22.74997329711914,0.0,24,0.6048387096774194
PHerc0125__z17136_w100,PHerc0125,w100,10.05,,22.995266099770863,18.41277313232422,0.041666666666666664,24,0.5887096774193549
PHerc0125__z11744_w020,PHerc0125,w020,2.5,parcial,22.798771540323894,22.283580780029297,0.0,24,0.5725806451612904
PHerc0125__z17136_w020,PHerc0125,w020,2.31,reprova,22.704517046610516,21.214569091796875,0.0,24,0.5564516129032258
PHerc0125__z8736_w080,PHerc0125,w080,8.16,,22.548661867777508,18.68503189086914,0.0,24,0.5403225806451613
PHerc0125__z14144_w060,PHerc0125,w060,6.81,,22.453903834025066,23.032196044921875,0.0,24,0.5241935483870968
PHerc0125__z10544_w080,PHerc0125,w080,8.39,,22.397085825602215,19.81035614013672,0.0,24,0.5080645161290323
PHerc0125__z11744_w080,PHerc0125,w080,8.32,,22.127451578776043,20.466548919677734,0.0,24,0.49193548387096775
PHerc0125__z9344_w020,PHerc0125,w020,2.32,reprova,21.990668614705402,21.777957916259766,0.0,24,0.4758064516129032
PHerc0125__z14736_w060,PHerc0125,w060,6.67,,21.91495672861735,21.597614288330078,0.0,24,0.4596774193548387
PHerc0125__z9344_w060,PHerc0125,w060,6.68,,21.890130360921223,18.768814086914062,0.0,24,0.4435483870967742
PHerc0125__z8144_w020,PHerc0125,w020,2.3,aprova,21.848790168762207,20.857349395751953,0.0,24,0.4274193548387097
PHerc0125__z10544_w060,PHerc0125,w060,6.67,,21.36913299560547,21.0709228515625,0.0,24,0.41129032258064513
PHerc0125__z6336_w040,PHerc0125,w040,4.34,,21.218607584635418,18.74661636352539,0.0,24,0.3951612903225806
PHerc0125__z9936_w080,PHerc0125,w080,8.3,,20.875688234965008,19.825645446777344,0.0,24,0.3790322580645161
PHerc0125__z11744_w060,PHerc0125,w060,6.75,,20.77224063873291,21.56352996826172,0.0,24,0.3629032258064516
PHerc0125__z8144_w080,PHerc0125,w080,8.08,,20.524354298909504,18.850173950195312,0.0,24,0.34677419354838707
PHerc0125__z6944_w060,PHerc0125,w060,6.25,,20.50257682800293,17.45303726196289,0.0,24,0.33064516129032256
PHerc0125__z9936_w060,PHerc0125,w060,6.63,aprova,20.34442710876465,19.801414489746094,0.0,24,0.31451612903225806
PHerc0125__z6336_w060,PHerc0125,w060,6.55,,20.251219749450684,20.597637176513672,0.0,24,0.29838709677419356
PHerc0125__z10544_w040,PHerc0125,w040,4.43,,20.229138056437176,19.394500732421875,0.0,24,0.282258064516129
